process,events,communications,pairs,non.pairs,pair.ratio
3,5,2,18.96,17.04,0.526666666666667
3,10,2,41.73,49.27,0.458571428571429
3,100,2,1863.21,3492.79,0.347873412994772
3,1000,2,168185.5,335320.5,0.334028790123653
3,5,5,62.39,42.61,0.594190476190476
3,10,5,101.56,88.44,0.534526315789474
3,100,5,2141.6,3853.4,0.357231025854879
3,1000,5,170370.89,339174.11,0.334358869187216
3,5,10,177.21,122.79,0.5907
3,10,10,248.74,186.26,0.571816091954023
3,100,10,2673.65,4466.35,0.374460784313725
3,1000,10,174205.27,345484.73,0.335209971329062
5,5,2,11.82,24.18,0.328333333333333
5,10,2,25.48,65.52,0.28
5,100,2,1120,4236,0.209111277072442
5,1000,2,100943.44,402562.56,0.200481106481353
5,5,5,40.63,64.37,0.386952380952381
5,10,5,66.91,123.09,0.352157894736842
5,100,5,1345.69,4649.31,0.224468723936614
5,1000,5,102569.1,406975.9,0.201295469487484
5,5,10,133.16,166.84,0.443866666666667
5,10,10,171.51,263.49,0.394275862068965
5,100,10,1730.58,5409.42,0.242378151260504
5,1000,10,105265.05,414424.95,0.202553541534376
10,5,2,6.87,29.13,0.190833333333333
10,10,2,13.44,77.56,0.147692307692308
10,100,2,559.1,4796.9,0.104387602688574
10,1000,2,50562.21,452943.79,0.100420273045406
10,5,5,24.01,80.99,0.228666666666667
10,10,5,36.85,153.15,0.193947368421053
10,100,5,672.65,5322.35,0.112201834862385
10,1000,5,51537.51,458007.49,0.101144177648687
10,5,10,73.9,226.1,0.246333333333333
10,10,10,96.23,338.77,0.221218390804598
10,100,10,910.01,6229.99,0.127452380952381
10,1000,10,52894.94,466795.06,0.101781716023014
100,5,2,2.5,33.5,0.0694444444444444
100,10,2,3.2,87.8,0.0351648351648352
100,100,2,57.25,5298.75,0.0106889469753547
100,1000,2,5051.47,498454.53,0.010032591468622
100,5,5,6.83,98.17,0.065047619047619
100,10,5,8.09,181.91,0.042578947368421
100,100,5,68.38,5926.62,0.0114061718098415
100,1000,5,5159.07,504385.93,0.0101248564896133
100,5,10,15.45,284.55,0.0515
100,10,10,17.75,417.25,0.0408045977011494
100,100,10,95.04,7044.96,0.0133109243697479
100,1000,10,5300.91,514389.09,0.0102001385441321
