Processes,Events,Communications,Pairs,Non-pairs
5,100,5,1291,4704
5,100,5,1303,4692
5,100,5,1242,4753
5,100,5,1354,4641
5,100,5,1243,4752
5,100,5,1371,4624
5,100,5,1259,4736
5,100,5,1376,4619
5,100,5,1275,4720
5,100,5,1326,4669
5,100,5,1310,4685
5,100,5,1352,4643
5,100,5,1269,4726
5,100,5,1319,4676
5,100,5,1312,4683
5,100,5,1354,4641
5,100,5,1425,4570
5,100,5,1413,4582
5,100,5,1299,4696
5,100,5,1436,4559
5,100,5,1470,4525
5,100,5,1230,4765
5,100,5,1424,4571
5,100,5,1379,4616
5,100,5,1356,4639
5,100,5,1257,4738
5,100,5,1234,4761
5,100,5,1330,4665
5,100,5,1207,4788
5,100,5,1259,4736
5,100,5,1620,4375
5,100,5,1207,4788
5,100,5,1987,4008
5,100,5,1276,4719
5,100,5,1220,4775
5,100,5,1227,4768
5,100,5,1377,4618
5,100,5,1337,4658
5,100,5,1251,4744
5,100,5,1232,4763
5,100,5,1288,4707
5,100,5,1464,4531
5,100,5,1241,4754
5,100,5,1367,4628
5,100,5,1400,4595
5,100,5,1498,4497
5,100,5,1305,4690
5,100,5,1281,4714
5,100,5,1763,4232
5,100,5,1213,4782
5,100,5,1332,4663
5,100,5,1243,4752
5,100,5,1400,4595
5,100,5,1231,4764
5,100,5,1228,4767
5,100,5,1437,4558
5,100,5,1634,4361
5,100,5,1272,4723
5,100,5,1249,4746
5,100,5,1202,4793
5,100,5,1286,4709
5,100,5,1596,4399
5,100,5,1272,4723
5,100,5,1319,4676
5,100,5,1228,4767
5,100,5,1262,4733
5,100,5,1336,4659
5,100,5,1279,4716
5,100,5,1263,4732
5,100,5,1389,4606
5,100,5,1247,4748
5,100,5,1355,4640
5,100,5,1382,4613
5,100,5,1267,4728
5,100,5,1311,4684
5,100,5,1277,4718
5,100,5,1296,4699
5,100,5,1263,4732
5,100,5,1393,4602
5,100,5,1314,4681
5,100,5,1246,4749
5,100,5,1244,4751
5,100,5,1235,4760
5,100,5,1287,4708
5,100,5,1369,4626
5,100,5,1370,4625
5,100,5,1264,4731
5,100,5,1597,4398
5,100,5,1226,4769
5,100,5,1254,4741
5,100,5,1576,4419
5,100,5,1359,4636
5,100,5,1337,4658
5,100,5,1250,4745
5,100,5,1371,4624
5,100,5,1281,4714
5,100,5,1237,4758
5,100,5,1287,4708
5,100,5,1486,4509
5,100,5,1231,4764
5,100,10,1532,5608
5,100,10,1759,5381
5,100,10,1701,5439
5,100,10,1523,5617
5,100,10,1550,5590
5,100,10,1717,5423
5,100,10,1730,5410
5,100,10,1867,5273
5,100,10,1765,5375
5,100,10,1725,5415
5,100,10,1538,5602
5,100,10,1636,5504
5,100,10,1910,5230
5,100,10,1808,5332
5,100,10,3041,4099
5,100,10,1644,5496
5,100,10,1609,5531
5,100,10,1790,5350
5,100,10,1802,5338
5,100,10,1639,5501
5,100,10,1658,5482
5,100,10,2090,5050
5,100,10,1627,5513
5,100,10,1501,5639
5,100,10,1589,5551
5,100,10,1555,5585
5,100,10,1620,5520
5,100,10,1763,5377
5,100,10,1893,5247
5,100,10,1618,5522
5,100,10,1582,5558
5,100,10,1685,5455
5,100,10,1494,5646
5,100,10,1640,5500
5,100,10,1672,5468
5,100,10,1969,5171
5,100,10,1935,5205
5,100,10,2689,4451
5,100,10,1576,5564
5,100,10,1653,5487
5,100,10,1708,5432
5,100,10,1596,5544
5,100,10,1618,5522
5,100,10,1489,5651
5,100,10,1561,5579
5,100,10,1594,5546
5,100,10,1726,5414
5,100,10,1917,5223
5,100,10,1536,5604
5,100,10,2267,4873
5,100,10,1685,5455
5,100,10,1644,5496
5,100,10,1802,5338
5,100,10,1540,5600
5,100,10,1749,5391
5,100,10,2273,4867
5,100,10,1553,5587
5,100,10,1617,5523
5,100,10,1890,5250
5,100,10,1448,5692
5,100,10,1580,5560
5,100,10,1603,5537
5,100,10,1711,5429
5,100,10,1845,5295
5,100,10,1767,5373
5,100,10,1666,5474
5,100,10,1571,5569
5,100,10,1780,5360
5,100,10,1634,5506
5,100,10,2851,4289
5,100,10,1638,5502
5,100,10,1545,5595
5,100,10,1629,5511
5,100,10,1894,5246
5,100,10,1686,5454
5,100,10,1489,5651
5,100,10,1720,5420
5,100,10,1519,5621
5,100,10,1878,5262
5,100,10,1874,5266
5,100,10,1860,5280
5,100,10,1653,5487
5,100,10,1615,5525
5,100,10,1567,5573
5,100,10,1827,5313
5,100,10,1645,5495
5,100,10,2043,5097
5,100,10,1626,5514
5,100,10,1751,5389
5,100,10,1924,5216
5,100,10,1896,5244
5,100,10,1516,5624
5,100,10,1522,5618
5,100,10,1919,5221
5,100,10,1696,5444
5,100,10,1715,5425
5,100,10,1722,5418
5,100,10,1809,5331
